,league,club
0,Premier League,Chelsea FC
1,Premier League,Arsenal FC
2,Premier League,Tottenham Hotspur
3,Premier League,Brighton & Hove Albion
4,Premier League,Everton FC
5,Premier League,Liverpool FC
6,Premier League,Southampton FC
7,Premier League,Leeds United
8,Premier League,Wolverhampton Wanderers
9,Premier League,Fulham FC
10,Premier League,Manchester United
11,Premier League,Leicester City
12,Premier League,West Ham United
13,Premier League,Nottingham Forest
14,Premier League,Newcastle United
15,Premier League,Manchester City
16,Premier League,Aston Villa
17,Premier League,Crystal Palace
18,Premier League,AFC Bournemouth
19,Premier League,Brentford FC
20,Championship,Sheffield United
21,Championship,Burnley FC
22,Championship,Huddersfield Town
23,Championship,Norwich City
24,Championship,Sunderland AFC
25,Championship,West Bromwich Albion
26,Championship,Blackpool FC
27,Championship,Birmingham City
28,Championship,Watford FC
29,Championship,Luton Town
30,Championship,Cardiff City
31,Championship,Queens Park Rangers
32,Championship,Rotherham United
33,Championship,Swansea City
34,Championship,Blackburn Rovers
35,Championship,Preston North End
36,Championship,Stoke City
37,Championship,Bristol City
38,Championship,Reading FC
39,Championship,Hull City
40,Championship,Coventry City
41,Championship,Wigan Athletic
42,Championship,Millwall FC
43,Championship,Middlesbrough FC
44,Eredivisie,AZ Alkmaar
45,Eredivisie,Feyenoord Rotterdam
46,Eredivisie,PSV Eindhoven
47,Eredivisie,FC Utrecht
48,Eredivisie,Twente Enschede FC
49,Eredivisie,Vitesse Arnhem
50,Eredivisie,FC Volendam
51,Eredivisie,SC Cambuur Leeuwarden
52,Eredivisie,RKC Waalwijk
53,Eredivisie,NEC Nijmegen
54,Eredivisie,Ajax Amsterdam
55,Eredivisie,Go Ahead Eagles
56,Eredivisie,Sparta Rotterdam
57,Eredivisie,SC Heerenveen
58,Eredivisie,Fortuna Sittard
59,Eredivisie,Excelsior Rotterdam
60,Eredivisie,FC Emmen
61,Eredivisie,FC Groningen
62,Keuken Kampioen Divisie,Ajax Amsterdam U21
63,Keuken Kampioen Divisie,AZ Alkmaar U21
64,Keuken Kampioen Divisie,Willem II Tilburg
65,Keuken Kampioen Divisie,PEC Zwolle
66,Keuken Kampioen Divisie,Heracles Almelo
67,Keuken Kampioen Divisie,NAC Breda
68,Keuken Kampioen Divisie,De Graafschap Doetinchem
69,Keuken Kampioen Divisie,Almere City FC
70,Keuken Kampioen Divisie,ADO Den Haag
71,Keuken Kampioen Divisie,PSV Eindhoven U21
72,Keuken Kampioen Divisie,FC Den Bosch
73,Keuken Kampioen Divisie,VVV-Venlo
74,Keuken Kampioen Divisie,Roda JC Kerkrade
75,Keuken Kampioen Divisie,FC Eindhoven
76,Keuken Kampioen Divisie,MVV Maastricht
77,Keuken Kampioen Divisie,TOP Oss
78,Keuken Kampioen Divisie,FC Utrecht U21
79,Keuken Kampioen Divisie,SC Telstar
80,Keuken Kampioen Divisie,Helmond Sport
81,Keuken Kampioen Divisie,FC Dordrecht
82,Liga Portugal,SL Benfica
83,Liga Portugal,Sporting CP
84,Liga Portugal,SC Braga
85,Liga Portugal,GD Estoril Praia
86,Liga Portugal,FC Vizela
87,Liga Portugal,FC Porto
88,Liga Portugal,Vitória Guimarães SC
89,Liga Portugal,FC Famalicão
90,Liga Portugal,CS Marítimo
91,Liga Portugal,CD Santa Clara
92,Liga Portugal,Rio Ave FC
93,Liga Portugal,Casa Pia AC
94,Liga Portugal,Portimonense SC
95,Liga Portugal,Boavista FC
96,Liga Portugal,FC Paços de Ferreira
97,Liga Portugal,GD Chaves
98,Liga Portugal,FC Arouca
99,Liga Portugal,Gil Vicente FC
100,Liga Portugal 2,B SAD
101,Liga Portugal 2,SL Benfica B
102,Liga Portugal 2,Moreirense FC
103,Liga Portugal 2,SC União Torreense
104,Liga Portugal 2,CF Estrela Amadora SAD
105,Liga Portugal 2,CD Feirense
106,Liga Portugal 2,SC Farense
